depth_m;q_MPa;f_kPa;soil_type;;;;
2,1;13,3;34;sand;;;;
2,2;10,9;48;sand;;;;
2,3;9,3;43;sand;;;;
2,4;9,1;43;sand;;;;
2,5;9,6;36;sand;;;;
2,6;9,4;34;sand;;;;
2,7;8,7;32;sand;;;;
2,8;6,7;36;sand;;;;
2,9;6,3;29;sand;;;;
3;6,3;25;sand;;;;
3,1;5,4;16;sand;;;;
3,2;4,8;18;sand;;;;
3,3;5,1;16;sand;;;;
3,4;4,9;18;sand;;;;
3,5;4,3;20;sand;;;;
3,6;5,2;19;sand;;;;
3,7;7,6;18;sand;;;;
3,8;7,6;18;sand;;;;
3,9;6,6;21;sand;;;;
4;5,7;28;sand;;;;
4,1;4;29;sand;;;;
4,2;3;18;sand;;;;
4,3;2,8;14;sand;;;;
4,4;3,2;12;sand;;;;
4,5;4,2;12;sand;;;;
4,6;7,3;15;sand;;;;
4,7;14,9;27;sand;;;;
4,8;14,3;50;sand;;;;
4,9;8,3;67;sand;;;;
5;8,9;79;sand;;;;
5,1;4,5;65;clay;;;;
5,2;1,2;48;clay;;;;
5,3;2,1;32;clay;;;;
5,4;4,9;30;clay;;;;
5,5;7;35;clay;;;;
5,6;9,4;34;clay;;;;
5,7;8,8;43;clay;;;;
5,8;5,6;35;clay;;;;
5,9;1,5;36;clay;;;;
6;0,6;34;clay;;;;
6,1;0,4;18;clay;;;;
6,2;0,5;15;clay;;;;
6,3;0,9;11;clay;;;;
6,4;1;13;clay;;;;
6,5;1,4;14;clay;;;;
6,6;0,6;18;clay;;;;
6,7;2,6;19;clay;;;;
6,8;2,9;24;clay;;;;
6,9;1,1;30;clay;;;;
7;1,3;26;clay;;;;
7,1;1;30;clay;;;;
7,2;11,5;29;sand;;;;
7,3;12,1;44;sand;;;;
7,4;5,6;63;sand;;;;
7,5;1,2;71;sand;;;;
7,6;11,6;55;sand;;;;
7,7;12,4;38;sand;;;;
7,8;6,2;44;sand;;;;
7,9;3,4;63;sand;;;;
8;9,7;59;sand;;;;
8,1;12,2;34;sand;;;;
8,2;11,5;33;sand;;;;
8,3;9;39;sand;;;;
8,4;6,9;40;sand;;;;
8,5;6;35;sand;;;;
8,6;4;30;sand;;;;
8,7;5,4;38;sand;;;;
8,8;6,1;35;sand;;;;
8,9;5,3;37;sand;;;;
9;5,2;31;sand;;;;
9,1;4,9;19;sand;;;;
9,2;7,1;23;sand;;;;
9,3;6,9;17;sand;;;;
9,4;6,4;20;sand;;;;
9,5;5,4;16;sand;;;;
9,6;9,2;21;sand;;;;
9,7;8,8;19;sand;;;;
9,8;10,4;20;sand;;;;
9,9;6,7;18;sand;;;;
10;4,8;15;sand;;;;
10,1;7,6;13;sand;;;;
10,2;5,5;10;sand;;;;
10,3;4,2;16;sand;;;;
10,4;7;19;sand;;;;
10,5;8,6;21;sand;;;;
10,6;8,3;28;sand;;;;
10,7;8;16;sand;;;;
10,8;6;12;sand;;;;
10,9;8,3;15;sand;;;;
11;8,5;14;sand;;;;
11,1;10,1;17;sand;;;;
11,2;8,9;15;sand;;;;
11,3;5,6;16;sand;;;;
11,4;10,9;23;sand;;;;
11,5;11,7;27;sand;;;;
11,6;11,6;30;sand;;;;
11,7;12,7;38;sand;;;;
11,8;14,4;44;sand;;;;
11,9;13,9;48;sand;;;;
12;14,2;53;sand;;;;
12,1;13,1;49;sand;;;;
12,2;11,7;47;sand;;;;
12,3;7,2;50;sand;;;;
12,4;9,8;54;sand;;;;
12,5;10,5;45;sand;;;;
12,6;9,9;43;sand;;;;
12,7;11,1;40;sand;;;;
12,8;10,7;39;sand;;;;
12,9;10,6;40;sand;;;;
13;10,4;40;sand;;;;
13,1;10,2;37;sand;;;;
13,2;9,9;38;sand;;;;
13,3;9,9;37;sand;;;;
13,4;10,6;36;sand;;;;
13,5;11,6;35;sand;;;;
13,6;10,9;40;sand;;;;
13,7;8,3;47;sand;;;;
13,8;7,3;49;sand;;;;
13,9;6,9;42;sand;;;;
14;6,5;34;sand;;;;
14,1;8,5;29;sand;;;;
14,2;11,4;31;sand;;;;
14,3;11,7;41;sand;;;;
14,4;10,4;47;sand;;;;
14,5;10,7;47;sand;;;;
14,6;10,8;39;sand;;;;
14,7;13;35;sand;;;;
14,8;13,8;35;sand;;;;
14,9;14,5;41;sand;;;;
15;15,2;44;sand;;;;
15,1;17,2;44;sand;;;;
15,2;12,8;47;sand;;;;
15,3;14,5;56;sand;;;;
15,4;19,9;48;sand;;;;
15,5;18,9;41;sand;;;;
15,6;14,6;40;sand;;;;
15,7;15,1;34;sand;;;;
15,8;20,2;33;sand;;;;
15,9;17,4;35;sand;;;;
16;15,9;42;sand;;;;
16,1;19,1;54;sand;;;;
16,2;20,8;56;sand;;;;
16,3;22,4;46;sand;;;;
16,4;24,5;48;sand;;;;
16,5;19,6;57;sand;;;;
16,6;13;51;sand;;;;
16,7;12,4;41;sand;;;;
16,8;14,9;28;sand;;;;
16,9;22,3;31;sand;;;;
17;23,1;33;sand;;;;
17,1;18,4;38;sand;;;;
17,2;14,2;42;sand;;;;
17,3;11,2;31;sand;;;;
17,4;10;26;sand;;;;
17,5;9,3;27;sand;;;;
17,6;9,8;30;sand;;;;
17,7;11,9;32;sand;;;;
17,8;21,7;40;sand;;;;
17,9;31;48;sand;;;;
