depth_m;q_MPa;f_kPa;soil_type;;;;;;;;;;;;;;;;;
1,8;11,8;17;sand;;;;;;;;;;;;;;;;;
1,9;9,8;42;sand;;;;;;;;;;;;;;;;;
2;11;54;sand;;;;;;;;;;;;;;;;;
2,1;9,8;58;sand;;;;;;;;;;;;;;;;;
2,2;5,8;60;sand;;;;;;;;;;;;;;;;;
2,3;3,8;50;sand;;;;;;;;;;;;;;;;;
2,4;3,3;25;sand;;;;;;;;;;;;;;;;;
2,5;3;20;sand;;;;;;;;;;;;;;;;;
2,6;2,5;18;sand;;;;;;;;;;;;;;;;;
2,7;2,5;18;sand;;;;;;;;;;;;;;;;;
2,8;2,6;18;sand;;;;;;;;;;;;;;;;;
2,9;2,8;15;sand;;;;;;;;;;;;;;;;;
3;2,8;14;sand;;;;;;;;;;;;;;;;;
3,1;3,7;15;sand;;;;;;;;;;;;;;;;;
3,2;3,3;17;sand;;;;;;;;;;;;;;;;;
3,3;2,8;17;sand;;;;;;;;;;;;;;;;;
3,4;2,8;15;sand;;;;;;;;;;;;;;;;;
3,5;5,7;16;sand;;;;;;;;;;;;;;;;;
3,6;12,1;18;sand;;;;;;;;;;;;;;;;;
3,7;12,3;29;sand;;;;;;;;;;;;;;;;;
3,8;9,6;28;sand;;;;;;;;;;;;;;;;;
3,9;7,5;25;sand;;;;;;;;;;;;;;;;;
4;7,9;21;sand;;;;;;;;;;;;;;;;;
4,1;7;17;sand;;;;;;;;;;;;;;;;;
4,2;4,5;25;sand;;;;;;;;;;;;;;;;;
4,3;3;46;sand;;;;;;;;;;;;;;;;;
4,4;2;58;clay;;;;;;;;;;;;;;;;;
4,5;1,5;68;clay;;;;;;;;;;;;;;;;;
4,6;1;64;clay;;;;;;;;;;;;;;;;;
4,7;0,7;50;clay;;;;;;;;;;;;;;;;;
4,8;0,6;32;clay;;;;;;;;;;;;;;;;;
4,9;0,5;20;clay;;;;;;;;;;;;;;;;;
5;0,5;14;clay;;;;;;;;;;;;;;;;;
5,1;0,6;13;clay;;;;;;;;;;;;;;;;;
5,2;0,6;13;clay;;;;;;;;;;;;;;;;;
5,3;0,6;14;clay;;;;;;;;;;;;;;;;;
5,4;0,7;12;clay;;;;;;;;;;;;;;;;;
5,5;0,6;11;clay;;;;;;;;;;;;;;;;;
5,6;0,6;11;clay;;;;;;;;;;;;;;;;;
5,7;0,6;10;clay;;;;;;;;;;;;;;;;;
5,8;0,8;10;clay;;;;;;;;;;;;;;;;;
5,9;0,8;10;clay;;;;;;;;;;;;;;;;;
6;0,7;11;clay;;;;;;;;;;;;;;;;;
6,1;0,7;11;clay;;;;;;;;;;;;;;;;;
6,2;0,7;12;clay;;;;;;;;;;;;;;;;;
6,3;0,8;11;clay;;;;;;;;;;;;;;;;;
6,4;0,9;13;clay;;;;;;;;;;;;;;;;;
6,5;1;11;clay;;;;;;;;;;;;;;;;;
6,6;0,9;11;clay;;;;;;;;;;;;;;;;;
6,7;0,8;10;clay;;;;;;;;;;;;;;;;;
6,8;0,8;8;sand;;;;;;;;;;;;;;;;;
6,9;0,8;8;sand;;;;;;;;;;;;;;;;;
7;0,9;8;sand;;;;;;;;;;;;;;;;;
7,1;1,4;9;sand;;;;;;;;;;;;;;;;;
7,2;1,5;13;sand;;;;;;;;;;;;;;;;;
7,3;3,9;21;sand;;;;;;;;;;;;;;;;;
7,4;5,6;37;sand;;;;;;;;;;;;;;;;;
7,5;5,7;45;sand;;;;;;;;;;;;;;;;;
7,6;2;54;sand;;;;;;;;;;;;;;;;;
7,7;7,8;38;sand;;;;;;;;;;;;;;;;;
7,8;7,5;27;sand;;;;;;;;;;;;;;;;;
7,9;7,7;27;sand;;;;;;;;;;;;;;;;;
8;5,5;20;sand;;;;;;;;;;;;;;;;;
8,1;2,3;29;sand;;;;;;;;;;;;;;;;;
8,2;2,7;26;sand;;;;;;;;;;;;;;;;;
8,3;6;30;sand;;;;;;;;;;;;;;;;;
8,4;11,5;19;sand;;;;;;;;;;;;;;;;;
8,5;11,7;25;sand;;;;;;;;;;;;;;;;;
8,6;12,3;32;sand;;;;;;;;;;;;;;;;;
8,7;11,5;39;sand;;;;;;;;;;;;;;;;;
8,8;11,5;39;sand;;;;;;;;;;;;;;;;;
8,9;8,8;31;sand;;;;;;;;;;;;;;;;;
9;9,6;24;sand;;;;;;;;;;;;;;;;;
9,1;6,9;22;sand;;;;;;;;;;;;;;;;;
9,2;5,3;19;sand;;;;;;;;;;;;;;;;;
9,3;3,9;18;sand;;;;;;;;;;;;;;;;;
9,4;3,2;14;sand;;;;;;;;;;;;;;;;;
9,5;2,1;12;sand;;;;;;;;;;;;;;;;;
9,6;1,7;16;sand;;;;;;;;;;;;;;;;;
9,7;3,9;29;sand;;;;;;;;;;;;;;;;;
9,8;6,1;27;sand;;;;;;;;;;;;;;;;;
9,9;6,3;26;sand;;;;;;;;;;;;;;;;;
10;3,9;24;sand;;;;;;;;;;;;;;;;;
10,1;4,5;25;sand;;;;;;;;;;;;;;;;;
10,2;5,4;20;sand;;;;;;;;;;;;;;;;;
