depth_m;q_MPa;f_kPa;soil_type;;;;;
1,3;9,8;16;sand;;;;;
1,4;15;38;sand;;;;;
1,5;12,5;50;sand;;;;;
1,6;9;57;sand;;;;;
1,7;8,1;69;sand;;;;;
1,8;10,2;75;sand;;;;;
1,9;8,6;82;sand;;;;;
2;13,3;157;sand;;;;;
2,1;7,6;115;sand;;;;;
2,2;6,2;103;sand;;;;;
2,3;7,8;159;sand;;;;;
2,4;1,9;111;sand;;;;;
2,5;2,1;54;sand;;;;;
2,6;1,8;37;sand;;;;;
2,7;8,1;50;sand;;;;;
2,8;4,3;142;sand;;;;;
2,9;4,1;166;sand;;;;;
3;6,8;177;sand;;;;;
3,1;17,9;107;sand;;;;;
3,2;16;91;sand;;;;;
3,3;11,9;106;sand;;;;;
3,4;7,2;79;sand;;;;;
3,5;6,6;93;sand;;;;;
3,6;9,3;77;sand;;;;;
3,7;12,2;54;sand;;;;;
3,8;5,1;48;sand;;;;;
3,9;2,1;52;sand;;;;;
4;1,1;46;sand;;;;;
4,1;0,6;44;sand;;;;;
4,2;0,4;38;sand;;;;;
4,3;0,4;34;sand;;;;;
4,4;0,5;26;sand;;;;;
4,5;0,4;23;sand;;;;;
4,6;0,3;22;sand;;;;;
4,7;0,4;20;sand;;;;;
4,8;0,4;19;sand;;;;;
4,9;0,4;18;sand;;;;;
5;0,3;17;sand;;;;;
5,1;0,5;19;sand;;;;;
5,2;0,8;18;sand;;;;;
5,3;0,5;19;sand;;;;;
5,4;0,5;25;sand;;;;;
5,5;0,5;23;sand;;;;;
5,6;0,5;19;sand;;;;;
5,7;0,5;18;sand;;;;;
5,8;0,6;17;sand;;;;;
5,9;0,5;16;sand;;;;;
6;0,5;16;sand;;;;;
6,1;0,6;16;sand;;;;;
6,2;0,6;17;sand;;;;;
6,3;0,5;17;sand;;;;;
6,4;0,5;21;sand;;;;;
6,5;1,6;22;clay;;;;;
6,6;3;21;clay;;;;;
6,7;4,8;35;clay;;;;;
6,8;4,3;49;clay;;;;;
6,9;3,2;66;clay;;;;;
7;8,2;68;clay;;;;;
7,1;11,2;54;clay;;;;;
7,2;11;46;clay;;;;;
7,3;4,2;43;clay;;;;;
7,4;5;60;clay;;;;;
7,5;10,5;52;clay;;;;;
7,6;7,8;43;clay;;;;;
7,7;11,9;76;clay;;;;;
7,8;13,4;49;clay;;;;;
7,9;14,3;49;clay;;;;;
8;16,9;45;clay;;;;;
8,1;15,9;52;clay;;;;;
8,2;15,5;55;clay;;;;;
8,3;14,1;56;clay;;;;;
8,4;12;45;clay;;;;;
8,5;6,2;70;clay;;;;;
8,6;5,9;73;clay;;;;;
8,7;5,7;62;clay;;;;;
8,8;6,5;80;clay;;;;;
8,9;12,1;59;clay;;;;;
9;15,1;46;clay;;;;;
9,1;14,1;58;clay;;;;;
