depth_m;q_MPa;f_kPa;soil_type
1,3;18,6;17;sand
1,4;15,24;60;sand
1,5;11,52;122;sand
1,6;14,16;94;sand
1,7;7,2;60;sand
1,8;4,32;31;sand
1,9;3,72;19;sand
2;3,48;17;sand
2,1;3,24;19;sand
2,2;3,12;19;sand
2,3;3;19;sand
2,4;4,56;24;sand
2,5;3,36;26;sand
2,6;2,88;38;sand
2,7;9,24;36;sand
2,8;11,52;46;sand
2,9;9,48;36;sand
3;11,4;79;sand
3,1;8,88;98;sand
3,2;8,04;65;sand
3,3;6;48;clay
3,4;1,44;29;clay
3,5;2,16;36;clay
3,6;0,72;38;clay
3,7;0,6;43;clay
3,8;0,6;36;clay
3,9;0,48;38;clay
4;0,24;31;clay
4,1;0,24;29;clay
4,2;0,12;24;clay
4,3;0;19;clay
4,4;0,12;17;clay
4,5;0,12;12;clay
4,6;0,24;12;clay
4,7;0,24;12;clay
4,8;0,24;12;clay
4,9;0,24;10;clay
5;0,12;10;clay
5,1;0,24;10;clay
5,2;0,24;10;clay
5,3;0,24;10;clay
5,4;0,24;7;clay
5,5;0,24;7;clay
5,6;0,24;7;clay
5,7;0,24;7;clay
5,8;0,36;7;clay
5,9;0,48;10;clay
6;0,48;10;clay
6,1;0,24;12;clay
6,2;0,24;10;clay
6,3;0,24;10;clay
6,4;0,48;7;clay
6,5;0,84;7;clay
6,6;2,4;14;clay
6,7;1,2;19;clay
6,8;0,48;12;clay
6,9;0,36;7;clay
7;0,36;10;clay
7,1;0,48;17;clay
7,2;0,6;22;clay
7,3;0,6;29;clay
7,4;0,72;31;clay
7,5;0,6;34;clay
7,6;0,7;29;clay
7,7;1;26;clay
7,8;1,1;34;clay
7,9;1,6;46;clay
8;1,6;67;clay
8,1;1,6;72;clay
8,2;1,2;72;clay
8,3;1;58;clay
8,4;0,8;48;clay
8,5;1;38;clay
8,6;5,5;48;clay
8,7;9,1;62;clay
8,8;5,6;50;clay
8,9;1,7;50;clay
9;3,4;31;clay
9,1;5,8;38;clay
9,2;2,2;43;clay
9,3;3,8;48;clay
9,4;7,6;36;clay
9,5;13;24;sand
9,6;20,2;29;sand
9,7;20,8;31;sand
9,8;21;72;sand
9,9;18,8;82;sand
10;17,6;79;sand
10,1;15,4;72;sand
10,2;14,5;67;sand
10,3;13,3;65;sand
10,4;13;60;sand
10,5;13;58;sand
10,6;15,6;58;sand
10,7;18,6;72;sand
10,8;18,7;62;sand
10,9;19,9;55;sand
11;14;38;sand
11,1;18,4;36;sand
11,2;16,7;50;sand
11,3;16,3;48;sand
11,4;16;55;sand
11,5;13,4;48;sand
11,6;12,4;43;sand
11,7;8,6;41;sand
11,8;8,8;46;sand
11,9;7,3;43;sand
12;8,4;43;sand
12,1;6,8;36;sand
12,2;6,4;36;sand
12,3;11,5;41;sand
12,4;11,2;26;sand
12,5;10,9;31;sand
12,6;11,2;41;sand
12,7;9,7;48;sand
12,8;9,8;46;sand
12,9;8;38;sand
13;8;31;sand
13,1;7,2;31;sand
13,2;6,7;36;sand
13,3;8,5;29;sand
13,4;9,8;24;sand
13,5;10,8;26;sand
13,6;10,8;31;sand
13,7;14,2;36;sand
13,8;16,8;43;sand
13,9;17,8;58;sand
14;19,9;74;sand
14,1;18;72;sand
14,2;19,1;62;sand
14,3;15,7;58;sand
14,4;17,4;34;sand
14,5;14,6;31;sand
14,6;13,3;31;sand
14,7;13,1;38;sand
14,8;12,4;46;sand
14,9;11,4;46;sand
15;10;43;sand
15,1;10,2;38;sand
15,2;11,2;41;sand
15,3;15,5;41;sand
15,4;15,4;46;sand
15,5;11,6;55;sand
15,6;11,4;55;sand
15,7;10;46;sand
15,8;11,5;36;sand
15,9;13,1;38;sand
16;16,9;41;sand
16,1;15,2;55;sand
16,2;14,9;60;sand
16,3;16;65;sand
16,4;15,1;62;sand
16,5;15,6;62;sand
16,6;14,6;72;sand
16,7;11,8;72;sand
16,8;9,6;67;sand
16,9;13,7;58;sand
17;16;43;sand
17,1;14,5;43;sand
17,2;11,9;36;sand
17,3;11,6;38;sand
17,4;14,6;36;sand
17,5;17,8;36;sand
17,6;16,1;46;sand
17,7;14,2;50;sand
17,8;11,2;48;sand
17,9;9,2;43;sand
18;19,1;36;sand
18,1;21;24;sand
18,2;20,6;38;sand
18,3;19,3;26;sand
18,4;22,7;22;sand
18,5;24,5;29;sand
18,6;25,8;36;sand
18,7;22,4;34;sand
18,8;16;31;sand
18,9;13,3;24;sand
19;9,2;22;sand
19,1;6,6;12;sand
19,2;8,6;12;sand
19,3;6,7;12;sand
19,4;11,6;19;sand
19,5;27,8;36;sand
19,6;30;60;sand
19,7;30;86;sand
19,8;30;151;sand
19,9;30;206;sand
