pile_length_m,0.3_circular,0.3_rectangular,0.35_circular,0.35_rectangular,0.4_circular,0.4_rectangular
1.6,164.12893764591743,208.9754538461538,,,,
1.7,230.49620496822308,293.47688307692306,352.9552387118705,449.39656744939265,454.33005372885617,578.470990769231
1.8,271.53449208085624,345.7284530769231,401.07620057823436,510.66607902834005,497.8385268991199,633.8676993406596
1.9,278.20392147857916,354.2202343269231,393.75879056846946,501.3492632388663,477.0699066651882,607.4242707692308
2.0,268.42784964553766,341.77295307692305,372.24840901120376,473.96139481781375,449.317974761277,572.0894136263737
2.1,272.7653091776705,347.2955780769231,345.93281681166343,440.4553421862348,412.8054873433554,525.600270769231
2.2,207.13415719023777,263.73139999999995,331.2354956330252,421.74213165991904,395.00971135762074,502.9419850549451
2.3,204.11350792431054,259.88538990384615,269.7805325502146,343.495242442645,325.40337299767225,414.3164424908426
2.4,170.66254577431346,217.29430208503072,249.37737082342292,317.5171300944669,301.1509681718829,383.43732161172164
2.5,175.71732464205252,223.73024642932776,259.15973074739463,329.9724175905001,329.76800739939716,419.87366760943024
2.6,192.28906394383094,244.8300402333939,275.285975090786,350.5049895965677,339.3393920465239,432.06033304002307
2.7,175.14853139310745,223.00603637199242,231.48670124831162,294.738022109645,281.40231025893365,358.2925494015078
2.8,177.96476466045252,226.5917759351749,231.5563803634008,294.82674031441854,282.2281815842513,359.34408143176506
2.9,178.05039777506812,226.70080740304232,225.1171043285149,286.6279994273364,273.35782510326436,348.04999278427476
3.0,152.14567995744028,193.71789628243297,190.5246067075906,242.58346350521853,231.21078586794025,294.3867157363555
3.1,143.40177920824146,182.58481607331368,181.1647186500082,230.6660838960103,226.6602698444444,288.59281878628946
3.2,144.7027585374,184.24127440208127,188.81863047849419,240.41134710795504,237.2758303355126,302.1089701930458
3.3,171.35760249648925,218.17927578953893,196.6207690651261,250.34533848995892,242.39107798838398,308.6219057857954
3.4,178.6499325033114,227.46415872748375,245.82992479229105,313.00038152481596,295.0136546460213,375.62305133215665
3.5,174.90130969954782,222.69126393543593,237.30520186776394,302.14636718939755,285.3680394440103,363.3418726236577
3.6,162.68217657423526,207.1333804379047,219.84457168856306,279.9148023692429,263.8384937171201,335.9296036239972
3.7,143.83396950860444,183.13509785458686,192.70699904621281,245.36217173287946,230.3496740525672,293.2903141205838
3.8,124.8709586021298,158.9906424812191,156.0225494236425,198.65407979657803,186.11132438558093,236.9642979307552
3.9,114.98360189453444,146.40166892820625,141.92669265423064,180.70667754084002,168.9006535060293,215.0509911754883
4.0,113.45754582552428,144.45863399365942,140.3038279413785,178.6403820126813,165.63392025981088,210.89165722430184
4.1,116.45762798393052,148.27845723519667,143.28115448213077,182.43123190195672,167.90724780514984,213.78614775316325
4.2,115.90664131420739,147.5769192186832,144.48506184251406,183.9640943613944,169.26231145789788,215.51146838147508
4.3,104.68155751869934,133.28469863727653,132.4462648239443,168.63582192631154,155.80269331376246,198.374150303327
4.4,92.79239735520153,118.14694976342108,118.50458625419583,150.8847254513211,140.18518113732634,178.48931620990578
4.5,102.07421759344362,129.96493033787402,132.28072212035494,168.42504640975926,156.9006461661777,199.77210729327697
4.6,104.62878117700224,133.21750171200134,135.2460095094363,172.2005675750421,160.54277281888477,204.40940697443753
4.7,93.46146753522935,118.9988363748356,122.80018296821429,156.35404905584386,145.81032655610787,185.65147380198422
4.8,84.17193187921032,107.17103222536491,118.10635387035335,150.37768023221872,140.88831757638997,179.3845773294658
4.9,85.78311615250995,109.22245575598538,107.141512016448,136.41680998205922,129.20192324363182,164.50499792962924
5.0,77.71958955545153,98.95565482258684,101.61883692052085,129.38512165720076,124.73888397513787,158.82247984327682
5.1,82.35745361142025,104.86076674175204,95.54877633799288,121.65648048458792,117.04699795234725,149.02886638546414
5.2,82.03481516922913,104.44997071850253,100.72363637748084,128.24531692533378,122.23036491225575,155.6285341736933
5.3,84.9783548560261,108.19780184922978,104.90639685292642,133.5709729688263,125.56556791928914,159.87504653196785
5.4,84.94452293592622,108.15472571068437,108.33609127870555,137.9377955380861,130.10931937181348,165.6603305627697
5.5,85.01540645836685,108.24497741452582,107.93400022088596,137.42583730268584,130.31080539288564,165.9168705325101
5.6,85.01025125427005,108.23841360480861,104.70394108375801,133.31319827746137,130.0802072525744,165.62326386132335
5.7,85.3073430191064,108.61668258821337,106.34391197148943,135.4012740639354,134.5321880692591,171.29170188952875
5.8,84.46519875131573,107.5444312040903,109.6668299961117,139.63214469679775,138.42878419323242,176.25300216443333
5.9,83.89288105612624,106.81573368242334,105.84989627160506,134.77227373912268,138.15404270672337,175.9031904392308
6.0,85.49358194765485,108.8538093568104,108.28103750301254,137.86769889378678,144.85649104226542,184.4370127065872
6.1,86.6975706140709,110.3867753383043,115.67312057614754,147.27959138046967,161.36045852153,205.45051674621004
6.2,89.09067148439497,113.43376600094096,122.80701387550226,156.36274643712943,184.23321427262252,234.57301386556966
6.3,93.52888277256153,119.08467212092465,134.52845790561986,171.28695249767497,192.69881052115332,245.35174577896066
6.4,100.26246782298225,127.65813888495784,153.62408916712175,195.60026535150013,207.9259145063661,264.7394967247279
6.5,112.00582880638106,142.6102504771212,162.19808350068502,206.51701399332805,223.79026097503817,284.93861000002073
6.6,128.827187525656,164.0278695946777,174.91597654444666,222.70993834235762,243.41523406854353,309.9259018070354
6.7,138.42826745347125,176.25234423093514,192.0885286800213,244.57471080539761,268.7334993553114,342.1621183742439
6.8,150.59996333975818,191.74982875984588,209.8755776289022,267.22188491125263,294.46434056221034,374.92364291816875
6.9,161.88424540779275,206.1174229228134,227.4490564315538,289.59713306135404,320.6154443865554,408.22026244579973
